日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024-02-08,10:00:00,股票,达意隆(002209.XSHE),卖,市价单,-4800股,5.59,-26832,-4800股,-,-2784,33.54,全部成交,2024-02-08 10:00:00
2024-02-08,14:00:00,基金,银华日利(511880.XSHG),买,市价单,200股,100.34,20068,200股,-,0,0,全部成交,2024-02-08 14:00:00
2024-02-08,14:00:00,基金,银华日利(511880.XSHG),买,市价单,600股,100.34,60204,600股,-,0,0,全部成交,2024-02-08 14:00:00
2024-02-19,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-500股,100.344,-50172,-500股,-,2,0,全部成交,2024-02-19 14:00:00
2024-02-20,10:00:00,股票,名雕股份(002830.XSHE),卖,市价单,-3300股,8.92,-29436,-3300股,-,198,36.8,全部成交,2024-02-20 10:00:00
2024-02-20,14:00:00,股票,英派斯(002899.XSHE),卖,市价单,-3100股,11.22,-34782,-3100股,-,5301,43.48,全部成交,2024-02-20 14:00:00
2024-02-20,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1000股,100.351,100351,1000股,-,0,0,全部成交,2024-02-20 14:00:00
2024-02-20,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-900股,100.351,-90315.9,-900股,-,2.28,0,全部成交,2024-02-20 14:00:00
2024-02-21,14:00:00,基金,银华日利(511880.XSHG),买,市价单,800股,100.352,80281.6,800股,-,0,0,全部成交,2024-02-21 14:00:00
2024-02-22,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-700股,100.355,-70248.5,-700股,-,2.93,0,全部成交,2024-02-22 14:00:00
2024-02-23,14:00:00,基金,银华日利(511880.XSHG),买,市价单,600股,100.369,60221.4,600股,-,0,0,全部成交,2024-02-23 14:00:00
2024-02-26,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-500股,100.376,-50188,-500股,-,7.63,0,全部成交,2024-02-26 14:00:00
2024-02-27,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-600股,100.383,-60229.8,-600股,-,13.36,0,全部成交,2024-02-27 10:00:00
2024-02-27,10:00:00,股票,二六三(002467.XSHE),买,市价单,34200股,4.97,169974,34200股,-,0,42.49,全部成交,2024-02-27 10:00:00
2024-02-29,10:00:00,股票,二六三(002467.XSHE),卖,市价单,-34200股,4.38,-149796,-34200股,-,-20178,187.24,全部成交,2024-02-29 10:00:00
2024-02-29,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1400股,100.378,140529.2,1400股,-,0,0,全部成交,2024-02-29 14:00:00
2024-02-29,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1300股,100.378,-130491.4,-1300股,-,0,0,全部成交,2024-02-29 14:00:00
2024-03-01,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1200股,100.41,120492,1200股,-,0,0,全部成交,2024-03-01 14:00:00
