策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间
2022_origin_py/66.【配对交易】基于zscore的配对交易策略（胜率88.2%）,2023-09-01,2026-02-21,200000,00分13秒,20.79%,8.26%,-2.41%,23.77%,-0.004,0.866,0.184,0.600,5.257,27.62%,0.265,0.00%,35.99%,-0.285,0.486,3,2,-0.063,0.232,0.176,"2024/03/01,2024/09/13"
2022_origin_py/67.来自JPMorgan的VaR+EXPMA风险仓位控制,2023-09-01,2026-02-21,200000,,13.19%,5.34%,-8.55%,23.77%,-0.034,0.879,0.085,0.400,1.125,16.91%,0.118,-0.01%,12.98%,-2.152,0.487,8,12,-1.123,0.157,0.176,"2024/10/08,2025/05/28"
2022_origin_py/72.年化15.48%，盈亏比3.818的双均线策略,2023-09-01,2026-02-21,200000,00分15秒,14.49%,5.85%,-7.50%,23.77%,-0.021,0.735,0.120,0.429,1.816,20.48%,0.142,-0.01%,25.63%,-0.765,0.514,3,4,-0.369,0.154,0.176,"2024/10/08,2025/06/19"
2022_origin_py/73.股指期货分钟-高收益-低回撤，你值得拥有,2023-09-01,2026-02-21,200000,00分14秒,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2022_origin_py/74.基本面单因子测试——以BP因子为例,2023-09-01,2026-02-21,200000,,17.95%,7.18%,-8.71%,29.19%,-0.018,0.674,0.195,0.755,2.330,16.73%,0.270,-0.01%,20.67%,-0.650,0.501,117,38,-0.349,0.163,0.187,"2023/09/04,2024/09/13"
2022_origin_py/75.量价MACD组合择时——极速版,2023-09-01,2026-02-21,200000,00分13秒,18.90%,7.54%,-3.94%,23.77%,0.014,0.403,0.315,0.643,4.860,12.46%,0.363,-0.00%,25.56%,-0.418,0.526,9,5,-0.134,0.112,0.176,"2024/10/08,2024/10/17"
2022_origin_py/78.RSRS系列一：完整复现版(自带快速回测框架),2023-09-01,2026-02-21,200000,,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2022_origin_py/80.小盘价值股策略2.01，年化131%，回撤8.8%,2023-09-01,2026-02-21,200000,01分15秒,0.83%,0.35%,-18.53%,23.77%,-0.037,0.014,-7.757,0.638,4.609,0.37%,-9.540,-0.03%,33.37%,-0.709,0.487,37,21,-0.520,0.005,0.176,"2024/04/02,2024/09/18"
2022_origin_py/83.穿越十年牛熊：沪深300成分股配合macd的价投择时策略,2023-09-01,2026-02-21,200000,,-14.26%,-6.26%,-30.72%,23.77%,-0.117,0.265,-0.965,0.412,0.662,19.40%,-0.867,-0.06%,40.95%,-1.149,0.471,28,40,-0.972,0.106,0.176,"2024/07/19,2025/04/07"
2022_origin_py/84.MACD新研究，配合ETF十年稳稳的幸福,2023-09-01,2026-02-21,200000,00分10秒,10.08%,4.12%,-11.06%,23.77%,-0.036,0.684,0.008,0.471,1.810,20.97%,0.010,-0.02%,20.14%,-0.847,0.528,8,9,-0.503,0.149,0.176,"2024/10/08,2025/04/07"
2022_origin_py/85.年化20%+的极简指数增强，受RSRS和LLT启发,2023-09-01,2026-02-21,200000,,1.44%,0.60%,-18.04%,23.77%,-0.045,0.207,-0.296,0.400,1.081,17.71%,-0.352,-0.03%,28.84%,-0.684,0.474,30,45,-0.496,0.115,0.176,"2023/09/04,2024/08/28"
